,Feature Name,Importance,Standard Deviation
0,Frame0_WRIST_x,9.946584658856376e-05,0.0016011488117741754
1,Frame0_WRIST_y,0.00027705377592344814,0.0037259530128109127
2,Frame0_WRIST_z,0.0,0.0
3,Frame0_THUMB_CMC_x,0.002624814818621518,0.01927024865567307
4,Frame0_THUMB_CMC_y,0.0007619557171748471,0.007394062214196249
5,Frame0_THUMB_CMC_z,4.871578535577703e-05,0.0007458233409760739
6,Frame0_THUMB_MCP_x,0.004029490642467476,0.025432421711117995
7,Frame0_THUMB_MCP_y,0.0008231748813134786,0.007617641049010503
8,Frame0_THUMB_MCP_z,0.0001321405398988115,0.0017220426960653191
9,Frame0_THUMB_IP_x,0.0027766923380703294,0.019826397495992812
10,Frame0_THUMB_IP_y,0.0013836428838202288,0.010678432838466834
11,Frame0_THUMB_IP_z,6.893185743817231e-05,0.0009601577268418083
12,Frame0_THUMB_TIP_x,0.001273648295141396,0.013271154315824828
13,Frame0_THUMB_TIP_y,0.00046879589849824834,0.006147810570790252
14,Frame0_THUMB_TIP_z,0.00011421820452751656,0.0014049693624516356
15,Frame0_INDEX_FINGER_MCP_x,0.0034770212884579947,0.02381555270151167
16,Frame0_INDEX_FINGER_MCP_y,0.000618968116135686,0.006857329238972568
17,Frame0_INDEX_FINGER_MCP_z,8.757154423828221e-05,0.0011381240050497422
18,Frame0_INDEX_FINGER_PIP_x,0.003541863966218103,0.023249639723911895
19,Frame0_INDEX_FINGER_PIP_y,0.001304012431081686,0.010578597857862219
20,Frame0_INDEX_FINGER_PIP_z,6.23701385847326e-05,0.0007206830176287039
21,Frame0_INDEX_FINGER_DIP_x,0.004802394502981593,0.028122709612818184
22,Frame0_INDEX_FINGER_DIP_y,0.0003889640630826006,0.005131700805422167
23,Frame0_INDEX_FINGER_DIP_z,0.00017255020763261094,0.0022147290053792187
24,Frame0_INDEX_FINGER_TIP_x,0.004239663874132659,0.026037625656487838
25,Frame0_INDEX_FINGER_TIP_y,0.0011210836107620858,0.009712673949044447
26,Frame0_INDEX_FINGER_TIP_z,0.00011961646470061431,0.0012427459786177922
27,Frame0_MIDDLE_FINGER_MCP_x,0.0016488498583347936,0.015614547445428643
28,Frame0_MIDDLE_FINGER_MCP_y,0.001037962078839159,0.009532501060653219
29,Frame0_MIDDLE_FINGER_MCP_z,0.00016061836072676772,0.0027942002750350726
30,Frame0_MIDDLE_FINGER_PIP_x,0.0023095076315849403,0.019458657518247765
31,Frame0_MIDDLE_FINGER_PIP_y,0.0010096636678895382,0.009281009259052002
32,Frame0_MIDDLE_FINGER_PIP_z,0.0009686299118196529,0.008314253033716999
33,Frame0_MIDDLE_FINGER_DIP_x,0.004165164073256582,0.026209885792441785
34,Frame0_MIDDLE_FINGER_DIP_y,0.0012193732039700864,0.009875360575306871
35,Frame0_MIDDLE_FINGER_DIP_z,0.0002218802293882625,0.0028347091031858183
36,Frame0_MIDDLE_FINGER_TIP_x,0.005278308080018682,0.029121108726134954
37,Frame0_MIDDLE_FINGER_TIP_y,0.001261429150027938,0.009759204705582478
38,Frame0_MIDDLE_FINGER_TIP_z,0.00010473833394037391,0.0011670306783872432
39,Frame0_RING_FINGER_MCP_x,0.0004435796595525898,0.005947437686727279
40,Frame0_RING_FINGER_MCP_y,0.0016780042395102303,0.011613397806220655
41,Frame0_RING_FINGER_MCP_z,0.00046051058283608085,0.005198772626298777
42,Frame0_RING_FINGER_PIP_x,0.0007127966018594681,0.01029830425458676
43,Frame0_RING_FINGER_PIP_y,0.0014407397704972557,0.010779237235274098
44,Frame0_RING_FINGER_PIP_z,0.0013378411185224772,0.009772421049083838
45,Frame0_RING_FINGER_DIP_x,0.0013053271989142098,0.013369084050162974
46,Frame0_RING_FINGER_DIP_y,0.0018228089313394467,0.012260758479503368
47,Frame0_RING_FINGER_DIP_z,0.00048460153613493054,0.003558127397069671
48,Frame0_RING_FINGER_TIP_x,0.0018807438853643435,0.016550483040624484
49,Frame0_RING_FINGER_TIP_y,0.0015439704626530038,0.011472379605497969
50,Frame0_RING_FINGER_TIP_z,0.000394556206395826,0.0038005622575216407
51,Frame0_PINKY_MCP_x,0.00028558917731947697,0.0033239482988059008
52,Frame0_PINKY_MCP_y,0.0010900782236883916,0.00966637098334365
53,Frame0_PINKY_MCP_z,0.0006468694121447884,0.0060284922095272
54,Frame0_PINKY_PIP_x,0.00024364844319214193,0.003561127117351873
55,Frame0_PINKY_PIP_y,0.0014315849038568443,0.010882766750278586
56,Frame0_PINKY_PIP_z,0.0007225316452891001,0.0064248743630714875
57,Frame0_PINKY_DIP_x,0.00020023781519713416,0.002574842719203091
58,Frame0_PINKY_DIP_y,0.0016398300302035867,0.011728225713195166
59,Frame0_PINKY_DIP_z,0.0005808836028555408,0.004615237907452632
60,Frame0_PINKY_TIP_x,0.0003072926322906204,0.003299181085391207
61,Frame0_PINKY_TIP_y,0.0018205772484144824,0.012401856848050436
62,Frame0_PINKY_TIP_z,0.0006371781126358915,0.0052629825044276145
63,Frame1_WRIST_x,0.00023438422453637094,0.0031911126408845068
64,Frame1_WRIST_y,0.0003879206645744534,0.004925896027971009
65,Frame1_WRIST_z,0.0,0.0
66,Frame1_THUMB_CMC_x,0.0018139680875220638,0.015941108785852514
67,Frame1_THUMB_CMC_y,0.0004518334062659576,0.005633182196195844
68,Frame1_THUMB_CMC_z,0.00011160801880057516,0.0010801809930374416
69,Frame1_THUMB_MCP_x,0.002142072739262965,0.017489745201307364
70,Frame1_THUMB_MCP_y,0.0007144411273038427,0.0076657609055552295
71,Frame1_THUMB_MCP_z,0.00010043592547759985,0.0012640719698139217
72,Frame1_THUMB_IP_x,0.0026424059212965213,0.019174433208837542
73,Frame1_THUMB_IP_y,0.0008482323453885613,0.007557688165879203
74,Frame1_THUMB_IP_z,7.189104385983543e-05,0.0009540796724999752
75,Frame1_THUMB_TIP_x,0.0014158604114564877,0.012726384614074542
76,Frame1_THUMB_TIP_y,0.0004926539159486031,0.005175338570258828
77,Frame1_THUMB_TIP_z,7.429436446851886e-05,0.0010376404502722642
78,Frame1_INDEX_FINGER_MCP_x,0.004595544063709367,0.026895261735451266
79,Frame1_INDEX_FINGER_MCP_y,0.0009618198400149169,0.008554755118112895
80,Frame1_INDEX_FINGER_MCP_z,7.892358044099073e-05,0.0009370628440366532
81,Frame1_INDEX_FINGER_PIP_x,0.004016488556624512,0.024771812942235925
82,Frame1_INDEX_FINGER_PIP_y,0.0007170461530824225,0.007624692277743341
83,Frame1_INDEX_FINGER_PIP_z,0.00010509966973380087,0.0017297707287018422
84,Frame1_INDEX_FINGER_DIP_x,0.0037296878682294018,0.02465296671372216
85,Frame1_INDEX_FINGER_DIP_y,0.000941053480930295,0.008255106268505834
86,Frame1_INDEX_FINGER_DIP_z,0.00014293583466212122,0.001546892121254183
